"Incluye  transacciones de Amazon Marketplace, Fulfillment by Amazon (FBA) y Amazon Webstore"
"Todos los importes en MXN, a menos que se especifique"
"Definiciones:"
"Impuesto de venta cobrado: Incluye impuesto de venta cobrado a los compradores por ventas de productos, envíos y envoltorio de regalo."
"Tarifas de venta: Incluye tarifas de cierre variable y de remisión."
"Tarifas de otra transacción: Incluye reintegros de envío, retenciones de envío y tarifas de cobro de impuestos de venta."
"Otro: Incluye otros importes de transacción no relacionados con el pedido. Para obtener más detalles, consulta las columnas ""Tipo"" y ""Descripción"" para cada Id. de pedido."
"fecha/hora","Id. de liquidación","tipo","Id. del pedido","sku","descripción","cantidad","marketplace","cumplimiento","ciudad del pedido","estado del pedido","código postal del pedido","modelo de recaudación de impuestos","ventas de productos","impuesto de ventas de productos","créditos de envío","impuesto de abono de envío","créditos por envoltorio de regalo","impuesto de créditos de envoltura","Tarifa reglamentaria","Impuesto sobre tarifa reglamentaria","descuentos promocionales","impuesto de reembolsos promocionales","impuesto de retenciones en la plataforma","tarifas de venta","tarifas fba","tarifas de otra transacción","otro","total"
"2 oct 2024 8:32:09 p.m. GMT-7","21590960371","Trasferir","","","Para la cuenta que termina en 899","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-4,057.10","-4,057.10"
"4 oct 2024 8:07:00 p.m. GMT-7","21714692861","Trasferir","","","Para la cuenta que termina en 899","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-9,492.71","-9,492.71"
"5 oct 2024 1:49:01 p.m. GMT-7","21799357941","Reembolso","702-6260501-4658607","MOSWZ120-PB","Motorola Moto Watch 120 - Reloj inteligente premium para hombres con visualización AMOLED, batería de 10 días, seguimiento de frecuencia cardíaca","1","amazon.com.mx","Amazon","TULA DE ALLENDE","HIDALGO","42827","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7 oct 2024 9:40:11 p.m. GMT-7","21799357941","Trasferir","","","Para la cuenta que termina en 899","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-956.61","-956.61"
"18 oct 2024 9:12:35 p.m. GMT-7","21799357941","Pedido","701-7803308-5233851","MOSWZ120-SL","Motorola Moto Watch 120 - Reloj inteligente premium para hombre con visualización AMOLED, batería de 10 días, seguimiento de frecuencia cardíaca y","1","amazon.com.mx","Amazon","SALTILLO","COAHUILA DE ZARAGOZA","25220","","2,655.51","0","0","0","0","0","0","0","0","0","0","-370.06","-161.55","0","0","2,123.90"
